14;0;0,012;0,018;0,007;0,003
14;0;0,015;0,014;0,004;0,006
14;0;0,022;0,014;0,003;0,004
14;0;0,012;0,014;0,002;0,004
14;0;0,015;0,014;0,002;0,002
1121;0;0,069;1,658;0,084;0,762
1121;0;0,069;1,658;0,084;0,801
1121;0;0,07;1,616;0,087;0,761
1121;0;0,067;1,552;0,079;0,743
1121;0;0,097;1,614;0,083;0,755
1084;0;0,067;1,697;0,085;0,846
1084;0;0,068;1,679;0,09;0,788
1084;0;0,079;1,606;0,091;0,773
1084;0;0,064;1,552;0,068;0,715
1084;0;0,07;1,672;0,089;0,794
1117;0;0,069;1,556;0,082;0,73
1117;0;0,082;1,588;0,073;0,761
1117;0;0,071;1,646;0,085;0,782
1117;0;0,084;1,586;0,078;0,725
1117;0;0,067;1,648;0,077;0,773
6004;0;0,383;7,441;0,204;3,653
6004;0;0,324;7,263;0,218;3,653
6004;0;0,357;6,428;0,197;3,238
6004;0;0,567;9,6;0,251;4,755
6004;0;0,349;7,123;0,189;3,583
