
0;1;0,001;0,003;0;7
1;1;0,001;0,001;0;7
2;1;0;0,002;0;7
3;1;0,001;0,001;0;7
4;1;0,001;0,001;0;7
0;2;0,035;0,027;0;193
1;2;0,035;0,026;0;193
2;2;0,034;0,024;0;193
3;2;0,034;0,024;0;193
4;2;0,034;0,023;0;193
0;3;0,034;0,025;0;196
1;3;0,03;0,021;0;196
2;3;0,03;0,02;0;196
3;3;0,029;0,019;0;196
4;3;0,03;0,019;0;196
0;4;0,029;0,022;0;190
1;4;0,029;0,022;0;190
2;4;0,029;0,021;0;190
3;4;0,029;0,02;0;190
4;4;0,029;0,02;0;190
0;5;0,157;0,097;9;517
1;5;0,149;0,095;9;517
2;5;0,144;0,094;9;517
3;5;0,144;0,093;9;517
4;5;0,144;0,095;9;517
