
0;1;0,001;0,005;0;7
1;1;0,001;0,001;0;7
2;1;0;0,001;0;7
3;1;0,001;0;0;7
4;1;0;0,001;0;7
0;2;0,029;0,029;12;205
1;2;0,029;0,027;12;205
2;2;0,029;0,025;12;205
3;2;0,029;0,024;12;205
4;2;0,029;0,023;12;205
0;3;0,03;0,027;10;206
1;3;0,03;0,025;10;206
2;3;0,029;0,025;10;206
3;3;0,029;0,024;10;206
4;3;0,03;0,023;10;206
0;4;0,029;0,028;5;195
1;4;0,029;0,026;5;195
2;4;0,029;0,026;5;195
3;4;0,029;0,024;5;195
4;4;0,029;0,024;5;195
0;5;0,148;0,132;128;636
1;5;0,145;0,131;128;636
2;5;0,169;0,128;128;636
3;5;0,146;0,237;128;636
4;5;0,193;0,269;128;636
