
0;1;16;0,001;105;0
1;1;16;0,001;105;0
2;1;16;0,001;105;0
3;1;16;0;105;0
4;1;16;0;105;0
0;2;8689;0,06;48813;0,11
1;2;8689;0,058;48813;0,108
2;2;8689;0,057;48813;0,108
3;2;8689;0,058;48813;0,107
4;2;8689;0,058;48813;0,106
0;3;8702;0,059;49108;0,112
1;3;8702;0,057;49108;0,108
2;3;8702;0,057;49108;0,108
3;3;8702;0,058;49108;0,107
4;3;8702;0,058;49108;0,107
0;4;8721;0,059;49005;0,11
1;4;8721;0,058;49005;0,143
2;4;8721;0,058;49005;0,108
3;4;8721;0,058;49005;0,107
4;4;8721;0,058;49005;0,107
0;5;55208;0,475;304652;0,853
1;5;55208;0,408;304652;1,074
2;5;55208;0,418;304652;0,839
3;5;55208;0,414;304652;0,69
4;5;55208;0,357;304652;0,756
