
0;1;29;0,004;97;0,001
1;1;29;0,001;97;0,001
2;1;29;0,001;97;0,001
3;1;29;0,001;97;0
4;1;29;0;97;0,001
0;2;17676;0,138;39943;0,135
1;2;17676;0,134;39943;0,144
2;2;17676;0,168;39943;0,136
3;2;17676;0,146;39943;0,135
4;2;17676;0,14;39943;0,133
0;3;17561;0,14;39702;0,143
1;3;17561;0,143;39702;0,136
2;3;17561;0,142;39702;0,136
3;3;17561;0,148;39702;0,138
4;3;17561;0,138;39702;0,138
0;4;17572;0,137;39780;0,142
1;4;17572;0,148;39780;0,137
2;4;17572;0,141;39780;0,134
3;4;17572;0,148;39780;0,144
4;4;17572;0,141;39780;0,134
0;5;112202;0,927;248536;1,068
1;5;112202;1,23;248536;1,045
2;5;112202;0,867;248536;1,026
3;5;112202;0,874;248536;1,092
4;5;112202;0,988;248536;0,987
