K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
315	2	4943744	0.041	2.621	0.051	1.998	623	628.33
316	2	4944636	0.035	8.66	0.089	7.842	892	991.33
317	2	4945604	0.052	29.293	0.075	28.463	968	1099.00
318	2	4946217	0.035	5.777	0.074	4.929	613	645.33
319	2	4955283	0.152	29.987	0.104	29.135	9066	9000.33
320	2	4955877	0.052	3.073	0.088	2.218	594	587.00
321	2	4956737	0.052	10.505	0.079	9.691	860	1051.67
322	2	4957750	0.083	15.551	0.097	14.651	1013	929.33
323	2	4958550	0.051	28.947	0.076	28.142	800	725.00
324	2	4959808	0.052	3.76	0.078	3.019	1258	1338.67
325	2	4963067	0.067	2.162	0.078	1.502	3259	3224.00
326	2	4963714	0.031	13.688	0.073	13.008	647	662.00
327	2	4964564	0.049	9.823	0.072	9.074	850	779.67
328	2	4965351	0.043	7.593	0.079	6.863	787	839.00
329	2	4971066	0.101	27.146	0.084	26.421	5715	5767.67
330	2	4971677	0.033	2.138	0.068	1.415	611	638.00
331	2	4973106	0.053	27.034	0.088	26.266	1429	1477.00
332	2	4973606	0.056	7.607	0.071	6.901	500	608.00
333	2	4974828	0.046	9.52	0.067	8.777	1222	1084.00
334	2	4998676	0.306	13.764	0.114	12.988	23848	23900.67
335	2	4999251	0.067	5.579	0.054	4.96	575	665.67
336	2	4999936	0.03	2.999	0.067	2.363	685	592.67
337	2	5003294	0.064	24.169	0.075	23.487	3358	3259.67
338	2	5003923	0.047	12.848	0.075	12.156	629	601.33
339	2	5006679	0.091	8.742	0.065	8.097	2756	2631.00
340	2	5007397	0.035	2.306	0.076	1.661	718	822.67
341	2	5008385	0.088	24.028	0.062	23.342	988	1036.00
342	2	5008933	0.062	5.575	0.08	4.829	548	547.67
343	2	5010483	0.05	23.607	0.066	22.984	1550	1490.00
344	2	5011804	0.076	6.6	0.055	5.983	1321	1381.33
345	2	5012736	0.038	2.65	0.057	2.022	932	1033.67
346	2	5013513	0.036	12.245	0.057	11.592	777	774.00
347	2	5014107	0.066	27.92	0.076	27.155	594	675.00
348	2	5014769	0.034	3.498	0.075	2.773	662	623.33
349	2	5033774	0.22	29.531	0.123	28.69	19005	18953.67
350	2	5034239	0.05	2.06	0.065	1.264	465	555.00
351	2	5035089	0.039	10.941	0.084	10.054	850	753.67
352	2	5035804	0.038	7.821	0.075	7.163	715	789.33
