K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
983	2	2574118	0.05	24.098	0.058	23.464	591	579.33
984	2	2574704	0.027	3.414	0.059	2.736	586	609.33
985	2	2575332	0.026	5.615	0.075	4.983	628	638.00
986	2	2576114	0.029	12.601	0.058	11.942	782	776.00
987	2	2576834	0.037	9.363	0.076	8.696	720	612.33
988	2	2577378	0.025	6.753	0.061	6.11	544	646.00
989	2	2577977	0.05	24.089	0.066	23.461	599	574.00
990	2	2578715	0.049	2.228	0.071	1.444	738	602.67
991	2	2579251	0.027	26.11	0.068	25.432	536	534.00
992	2	2579780	0.028	7.52	0.082	6.822	529	910.00
993	2	2580372	0.056	9.641	0.07	8.932	592	665.67
994	2	2580899	0.037	14.836	0.075	14.068	527	647.00
995	2	2581617	0.03	6.123	0.072	5.428	718	677.00
996	2	2582159	0.026	3.178	0.055	2.538	542	536.33
997	2	2582669	0.024	26.011	0.056	25.318	510	710.00
998	2	2583195	0.035	12.72	0.065	12.096	526	564.00
999	2	2583930	0.052	8.506	0.061	7.893	735	604.67
1000	2	2584187	0.02	1.196	0.061	0.588	257	259.67
1001	2	2584775	0.025	24.014	0.064	23.358	588	632.67
1002	2	2585299	0.047	4.814	0.06	4.21	524	576.33
1003	2	2585890	0.025	23.692	0.06	23.053	591	672.33
1004	2	2586631	0.039	6.697	0.061	6.061	741	658.00
1005	2	2587393	0.028	2.682	0.076	2.071	762	691.67
1006	2	2587916	0.025	12.827	0.053	12.213	523	645.00
1007	2	2588822	0.052	24.443	0.054	23.791	906	807.33
1008	2	2589380	0.037	4.248	0.094	3.314	558	619.67
1009	2	2590312	0.03	28.96	0.081	28.127	932	734.33
1010	2	2590949	0.061	4.263	0.083	3.394	637	597.67
1011	2	2591596	0.028	9.589	0.059	8.876	647	694.67
1012	2	2592095	0.036	8.286	0.092	7.43	499	607.00
1013	2	2592705	0.029	27.924	0.072	27.19	610	559.67
1014	2	2593226	0.027	5.529	0.076	4.797	521	682.33
1015	2	2593916	0.03	6.444	0.072	5.737	690	720.33
1016	2	2594426	0.028	8.224	0.093	7.466	510	744.33
1017	2	2594959	0.037	10.625	0.077	9.815	533	563.00
1018	2	2595717	0.045	14.138	0.065	13.391	758	695.67
1019	2	2596516	0.04	26.941	0.084	26.026	799	605.33
1020	2	2597150	0.029	1.713	0.086	0.996	634	584.00
1021	2	2597662	0.028	25.324	0.068	24.673	512	635.67
1022	2	2598336	0.038	12.953	0.072	12.198	674	653.33
1023	2	2598959	0.036	9.064	0.058	8.436	623	679.33
1024	2	2599584	0.027	7.079	0.068	6.431	625	664.33
