K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
849	2	543492	0.028	9.834	0.071	9.132	611	624.00
850	2	543957	0.039	1.857	0.07	1.101	465	555.00
851	2	544682	0.056	26.832	0.08	26.081	725	717.67
852	2	545337	0.04	3.517	0.072	2.764	655	676.33
853	2	545875	0.034	25.615	0.069	24.931	538	561.33
854	2	546423	0.028	13.298	0.058	12.601	548	571.33
855	2	547092	0.038	2.855	0.072	2.148	669	668.00
856	2	547745	0.029	7.262	0.068	6.555	653	608.00
857	2	548441	0.029	25.678	0.071	24.959	696	616.33
858	2	549032	0.039	5.312	0.053	4.648	591	553.00
859	2	549656	0.029	26.315	0.078	25.592	624	606.33
860	2	550208	0.038	2.425	0.072	1.749	552	582.33
861	2	550688	0.027	9.269	0.067	8.613	480	520.00
862	2	551369	0.038	13.838	0.071	13.134	681	583.00
863	2	551995	0.038	25.493	0.067	24.801	626	608.67
864	2	552642	0.039	3.39	0.071	2.653	647	636.67
865	2	553248	0.027	6.144	0.065	5.465	606	599.67
866	2	553988	0.03	13.408	0.07	12.723	740	629.67
867	2	554680	0.042	9.483	0.077	8.853	692	658.33
868	2	555410	0.029	7.311	0.079	6.628	730	656.33
869	2	555969	0.039	25.682	0.074	24.995	559	634.33
870	2	556865	0.043	2.125	0.063	1.4	896	696.33
871	2	557453	0.028	25.957	0.066	25.219	588	610.33
872	2	558064	0.04	7.599	0.073	6.834	611	641.33
873	2	558573	0.027	9.898	0.076	9.182	509	610.33
874	2	559238	0.042	15.044	0.072	14.249	665	647.67
875	2	559872	0.042	1.559	0.068	0.842	634	577.33
876	2	560507	0.042	3.718	0.079	2.983	635	649.00
877	2	561211	0.034	28.826	0.081	28.002	704	636.00
878	2	561659	0.031	15.381	0.072	14.598	448	537.00
879	2	562194	0.034	10.373	0.072	9.62	535	631.00
880	2	562729	0.027	2.45	0.058	1.764	535	589.00
881	2	563493	0.029	25.891	0.064	25.172	764	645.00
882	2	564098	0.044	5.454	0.07	4.743	605	579.00
883	2	564689	0.055	30.088	0.083	29.271	591	557.67
884	2	565339	0.033	8.273	0.071	7.506	650	645.67
885	2	566065	0.033	3.381	0.083	2.571	726	648.00
886	2	566687	0.032	15.15	0.068	14.359	622	655.00
887	2	567159	0.027	26.799	0.066	26.035	472	556.67
888	2	567905	0.034	3.769	0.079	2.985	746	615.33
889	2	568414	0.032	27.706	0.074	26.909	509	588.67
890	2	569107	0.04	4.006	0.073	3.275	693	649.00
891	2	569649	0.029	9.682	0.079	8.984	542	615.67
892	2	570242	0.027	7.193	0.071	6.524	593	673.33
893	2	570934	0.029	25.618	0.058	24.906	692	634.00
894	2	571539	0.038	5.207	0.066	4.538	605	724.33
895	2	572251	0.03	6.232	0.066	5.522	712	694.67
896	2	572734	0.036	7.201	0.068	6.53	483	512.00
897	2	573344	0.028	9.379	0.08	8.668	610	579.67
898	2	573931	0.038	13.261	0.058	12.563	587	625.33
899	2	574401	0.036	25.678	0.076	24.961	470	589.33
900	2	574818	0.024	1.326	0.07	0.658	417	404.00
901	2	575322	0.027	25.644	0.07	24.89	504	590.00
902	2	575958	0.038	13.19	0.058	12.529	636	639.00
903	2	576509	0.039	9.433	0.071	8.78	551	617.67
904	2	577201	0.029	7.339	0.072	6.648	692	600.33
905	2	577812	0.04	6.259	0.062	5.55	611	540.67
906	2	578440	0.029	5.707	0.081	4.972	628	660.67
907	2	579106	0.049	25.677	0.071	24.97	666	591.67
908	2	579876	0.052	7.241	0.061	6.582	770	620.33
909	2	580690	0.03	9.499	0.069	8.852	814	713.33
910	2	581228	0.038	3.645	0.073	2.939	538	614.33
911	2	581843	0.029	25.578	0.066	24.875	615	713.67
912	2	582543	0.051	3.413	0.059	2.696	700	603.33
913	2	583092	0.028	25.46	0.07	24.752	549	606.33
914	2	583837	0.056	13.559	0.083	12.812	745	709.00
915	2	584370	0.037	2.973	0.076	2.275	533	560.00
916	2	584938	0.029	8.064	0.083	7.29	568	600.00
917	2	585396	0.03	31.693	0.088	30.835	458	529.33
918	2	585989	0.031	6.309	0.078	5.51	593	632.67
919	2	586628	0.037	30.148	0.074	29.308	639	608.00
920	2	587276	0.03	3.349	0.087	2.474	648	623.33
921	2	588123	0.04	10.622	0.08	9.808	847	696.33
922	2	589017	0.032	13.633	0.078	12.924	894	729.67
923	2	589675	0.029	26.894	0.071	26.163	658	610.33
924	2	590294	0.036	2.994	0.067	2.376	619	703.33
